load,side,target,letter1,letter2,letter3,letter4,letter5,letter6,distractor_appears,distr
low,left,N,o,o,o,o,o,N,1,distr/krosh.png
low,left,N,o,o,o,o,N,o,1,distr/losyash.png
low,left,N,o,o,o,N,o,o,1,distr/pin.png
low,left,N,o,o,N,o,o,o,1,distr/kopatych.png
low,left,N,o,N,o,o,o,o,1,distr/sovunya.png
low,left,N,N,o,o,o,o,o,1,distr/nyusha.png
low,left,N,o,o,o,o,o,N,1,distr/ezhik.png
low,left,N,o,o,o,o,N,o,1,distr/barash.png
low,left,N,o,o,o,N,o,o,1,distr/karych.png
low,left,N,o,o,N,o,o,o,1,distr/krosh.png
low,left,N,o,N,o,o,o,o,1,distr/losyash.png
low,left,N,N,o,o,o,o,o,1,distr/pin.png
low,left,N,o,o,o,o,o,N,0,distr/kopatych.png
low,left,N,o,o,o,o,N,o,0,distr/sovunya.png
low,left,N,o,o,o,N,o,o,0,distr/nyusha.png
low,left,N,o,o,N,o,o,o,0,distr/ezhik.png
low,left,N,o,N,o,o,o,o,0,distr/barash.png
low,left,N,N,o,o,o,o,o,0,distr/karych.png
low,left,N,o,o,o,o,o,N,0,distr/krosh.png
low,left,N,o,o,o,o,N,o,0,distr/losyash.png
low,left,N,o,o,o,N,o,o,0,distr/pin.png
low,left,N,o,o,N,o,o,o,0,distr/kopatych.png
low,left,N,o,N,o,o,o,o,0,distr/sovunya.png
low,left,N,N,o,o,o,o,o,0,distr/nyusha.png
low,left,N,o,o,o,o,o,N,0,distr/ezhik.png
low,left,N,o,o,o,o,N,o,0,distr/barash.png
low,left,N,o,o,o,N,o,o,0,distr/karych.png
low,left,N,o,o,N,o,o,o,0,distr/krosh.png
low,left,N,o,N,o,o,o,o,0,distr/losyash.png
low,left,N,N,o,o,o,o,o,0,distr/pin.png
low,left,N,o,o,o,o,o,N,0,distr/kopatych.png
low,left,N,o,o,o,o,N,o,0,distr/sovunya.png
low,left,N,o,o,o,N,o,o,0,distr/nyusha.png
low,left,N,o,o,N,o,o,o,0,distr/ezhik.png
low,left,N,o,N,o,o,o,o,0,distr/barash.png
low,left,N,N,o,o,o,o,o,0,distr/karych.png
low,left,X,o,o,o,o,o,X,0,distr/krosh.png
low,left,X,o,o,o,o,X,o,0,distr/losyash.png
low,left,X,o,o,o,X,o,o,0,distr/pin.png
